Session Time,GPS Fix Quality,Number of Satellites,GPS Date & Time,Latitude (deg),Longitude (deg),GPS Altitude (feet),Ground Speed (knots),Ground Track (deg),Mag Var (deg),System Time,Alert Type (Audio/Text),Action,Description,
5144.31,2,8,2021-07-03 13:30:51,+27.07560,-82.43511,25,37.4,226.3,+5.9,13:30:51,AUDIO,STOP,AOA_08_16,
5144.81,2,8,2021-07-03 13:30:52,+27.07554,-82.43518,23,36.7,226.5,+5.9,13:30:52,AUDIO,PLAY,AOA_05_16,
5145.31,2,8,2021-07-03 13:30:52,+27.07548,-82.43525,23,36.1,225.4,+5.9,13:30:52,AUDIO,PLAY,AOA_10_16,
5145.31,2,8,2021-07-03 13:30:52,+27.07548,-82.43525,23,36.1,225.4,+5.9,13:30:52,AUDIO,STOP,AOA_05_16,
5145.81,2,8,2021-07-03 13:30:53,+27.07542,-82.43532,24,35.4,224.7,+5.9,13:30:53,AUDIO,PLAY,AOA_08_16,
5145.81,2,8,2021-07-03 13:30:53,+27.07542,-82.43532,24,35.4,224.7,+5.9,13:30:53,AUDIO,STOP,AOA_10_16,
5146.31,2,8,2021-07-03 13:30:53,+27.07537,-82.43538,23,34.7,224.6,+5.9,13:30:53,AUDIO,PLAY,AOA_13_16,
5146.31,2,8,2021-07-03 13:30:53,+27.07537,-82.43538,23,34.7,224.6,+5.9,13:30:53,AUDIO,STOP,AOA_08_16,
5146.81,2,8,2021-07-03 13:30:54,+27.07531,-82.43544,23,34.0,223.9,+5.9,13:30:54,AUDIO,PLAY,AOA_06_16,
5146.81,2,8,2021-07-03 13:30:54,+27.07531,-82.43544,23,34.0,223.9,+5.9,13:30:54,AUDIO,STOP,AOA_13_16,
5147.31,2,8,2021-07-03 13:30:54,+27.07525,-82.43550,23,32.3,224.7,+5.9,13:30:54,AUDIO,PLAY,AOA_01_16,
5147.31,2,8,2021-07-03 13:30:54,+27.07525,-82.43550,23,32.3,224.7,+5.9,13:30:54,AUDIO,STOP,AOA_06_16,
5147.81,2,8,2021-07-03 13:30:55,+27.07520,-82.43556,23,32.6,225.1,+5.9,13:30:55,AUDIO,PLAY,AOA_01_16,
5148.31,2,8,2021-07-03 13:30:55,+27.07515,-82.43562,23,32.0,226.0,+5.9,13:30:55,AUDIO,STOP,AOA_01_16,
5149.31,2,8,2021-07-03 13:30:56,+27.07504,-82.43574,24,30.8,225.2,+5.9,13:30:56,AUDIO,PLAY,AOA_03_16,
5149.31,2,8,2021-07-03 13:30:56,+27.07504,-82.43574,24,30.8,225.2,+5.9,13:30:56,AUDIO,STOP,AOA_01_16,
5149.81,2,8,2021-07-03 13:30:57,+27.07499,-82.43579,24,30.4,224.9,+5.9,13:30:57,AUDIO,PLAY,AOA_13_16,
5149.81,2,8,2021-07-03 13:30:57,+27.07499,-82.43579,24,30.4,224.9,+5.9,13:30:57,AUDIO,STOP,AOA_03_16,
5150.31,2,8,2021-07-03 13:30:57,+27.07494,-82.43585,24,29.9,224.9,+5.9,13:30:57,AUDIO,PLAY,AOA_09_16,
5150.31,2,8,2021-07-03 13:30:57,+27.07494,-82.43585,24,29.9,224.9,+5.9,13:30:57,AUDIO,STOP,AOA_13_16,
5150.81,2,8,2021-07-03 13:30:58,+27.07490,-82.43590,26,29.3,224.8,+5.9,13:30:58,AUDIO,STOP,AOA_09_16,
5151.31,2,8,2021-07-03 13:30:58,+27.07485,-82.43595,27,28.7,224.9,+5.9,13:30:58,AUDIO,PLAY,AOA_01_16,
5151.31,2,8,2021-07-03 13:30:58,+27.07485,-82.43595,27,28.7,224.9,+5.9,13:30:58,AUDIO,STOP,AOA_09_16,
5151.81,2,8,2021-07-03 13:30:59,+27.07480,-82.43600,26,28.1,224.9,+5.9,13:30:59,AUDIO,PLAY,AOA_07_16,
5151.81,2,8,2021-07-03 13:30:59,+27.07480,-82.43600,26,28.1,224.9,+5.9,13:30:59,AUDIO,STOP,AOA_01_16,
